title,magnitude,date,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,location,country
"M 7.0 - 18 km SW of Malango, Solomon Islands",7.0,2022-11-22,8,7,green,1,768,us,117,0.509,17.0,mww,14.0,-9.7963,159.596,"Malango, Solomon Islands",Solomon Islands
"M 6.9 - 204 km SW of Bengkulu, Indonesia",6.9,2022-11-18,4,4,green,0,735,us,99,2.229,34.0,mww,25.0,-4.9559,100.738,"Bengkulu, Indonesia",Indonesia
M 7.0 -,7.0,2022-12-11,3,3,green,1,755,us,147,3.125,18.0,mww,579.0,-20.0508,-178.346,unknown,Fiji region
"M 7.3 - 205 km ESE of Neiafu, Tonga",7.3,2022-11-11,5,5,green,1,833,us,149,1.865,21.0,mww,37.0,-19.2918,-172.129,"Neiafu, Tonga",Tonga
M 6.6 -,6.6,2022-09-11,0,2,green,1,670,us,131,4.998,27.0,mww,624.464,-25.5948,178.278,unknown,unknown
M 7.0 - south of the Fiji Islands,7.0,2022-09-11,4,3,green,1,755,us,142,4.578,26.0,mwb,660.0,-26.0442,178.381,the Fiji Islands,Fiji region
M 6.8 - south of the Fiji Islands,6.8,2022-09-11,1,3,green,1,711,us,136,4.678,22.0,mww,630.379,-25.9678,178.363,the Fiji Islands,Fiji region
"M 6.7 - 60 km SSW of Boca Chica, Panama",6.7,2022-10-20,7,6,green,1,797,us,145,1.151,37.0,mww,20.0,7.6712,-82.3396,"Boca Chica, Panama",Panama
"M 6.8 - 55 km SSW of Aguililla, Mexico",6.8,2022-09-22,8,7,yellow,1,1179,us,175,2.137,92.0,mww,20.0,18.33,-102.913,"Aguililla, Mexico",Mexico
"M 7.6 - 35 km SSW of Aguililla, Mexico",7.6,2022-09-19,9,8,yellow,1,1799,us,271,1.153,69.0,mww,26.943,18.3667,-103.252,"Aguililla, Mexico",Mexico
"M 6.9 - 90 km E of Yujing, Taiwan",6.9,2022-09-18,9,9,yellow,1,887,us,215,0.401,34.0,mww,10.0,23.1444,121.307,"Yujing, Taiwan",Taiwan
"M 6.5 - 96 km SE of Lugu, Taiwan",6.5,2022-09-17,7,7,green,1,756,us,178,0.43,54.0,mww,10.0,23.029,121.348,"Lugu, Taiwan",Taiwan
"M 7.0 - 209 km SSE of Isangel, Vanuatu",7.0,2022-09-14,7,5,green,1,761,us,192,2.977,45.0,mww,137.0,-21.2077,170.239,"Isangel, Vanuatu",Vanuatu region
"M 7.6 - 70 km E of Kainantu, Papua New Guinea",7.6,2022-10-09,8,8,yellow,1,965,us,272,3.158,12.0,mww,116.0,-6.2237,146.471,"Kainantu, Papua New Guinea",Papua New Guinea
"M 6.6 - 44 km SE of Kangding, China",6.6,2022-05-09,9,8,orange,0,1043,us,141,8.454,34.0,mww,12.0,29.7263,102.279,"Kangding, China",CHINA
M 6.6 - south of the Kermadec Islands,6.6,2022-08-14,7,6,green,1,672,us,68,5.293,34.0,mww,30.0,-32.6922,-178.959,the Kermadec Islands,New Zealand region
"M 7.0 - 11 km NE of Bantay, Philippines",7.0,2022-07-27,9,8,yellow,1,1351,us,152,5.276,22.0,mww,33.729,17.5978,120.809,"Bantay, Philippines",Philippines
"M 6.5 - 107 km SSW of Tarauacá, Brazil",6.5,2022-08-06,3,2,green,0,653,us,236,1.999,31.0,mww,622.73,-9.0618,-71.1647,"Tarauacá, Brazil",Brazil
